Number,Arrival time,X1,X2,X3
001,08:31,6,0,6
002,08:31,1,1,2
003,08:31,2,2,4
004,08:31,2,3,5
005,08:31,0,4,4
006,08:31,2,4,6
007,08:31,7,5,12
008,08:32,1,5,6
009,08:34,12,5,17
010,08:37,8,3,11
011,08:43,2,0,2
012,08:43,4,1,5
013,08:44,6,1,7
014,08:46,9,2,11
015,08:50,10,1,11
016,08:54,15,0,15
017,08:54,1,1,2
018,08:54,29,1,30
019,08:56,6,2,8
020,08:56,28,3,31
021,09:05,0,0,0
022,09:09,1,1,2
023,09:10,4,1,5
024,09:12,8,0,8
025,09:15,14,0,14
026,09:27,0,0,0
027,09:28,4,1,5
028,09:29,5,2,7
029,09:29,12,3,15
030,09:32,2,0,2
031,09:33,10,1,11
032,09:36,3,0,3
033,09:39,4,0,4
034,09:40,2,1,3
035,09:43,5,0,5
036,09:43,22,1,23
037,09:44,6,1,7
038,09:48,0,0,0
039,09:48,3,1,4
040,09:50,12,0,12
041,09:52,12,0,12
042,10:03,4,0,4
043,10:04,1,0,1
044,10:05,4,1,5
045,10:06,6,1,7
046,10:07,4,0,4
047,10:08,8,1,9
048,10:08,4,1,5
049,10:11,6,2,8
050,10:18,2,0,2
051,10:19,5,1,6
052,10:19,10,2,12
053,10:20,18,1,19
054,10:21,3,2,5
055,10:23,8,2,10
056,10:24,16,2,18
057,10:25,2,3,5
058,10:25,1,3,4
059,10:25,2,4,6
060,10:27,7,5,12
061,10:27,10,6,16
062,10:27,9,7,16
063,10:30,4,7,11
064,10:31,0,8,8
065,10:32,2,8,10
066,10:34,1,9,10
067,10:36,29,10,39
068,10:36,9,11,20
069,10:37,17,12,29
070,10:38,17,12,29
071,10:39,5,13,18
072,10:40,6,12,18
073,10:42,8,12,20
074,10:43,3,11,14
075,10:43,0,11,11
076,10:43,0,12,12
077,10:44,9,13,22
078,10:47,2,14,16
079,10:48,4,15,19
080,10:49,1,14,15
081,10:49,0,15,15
082,10:57,4,10,14
083,11:01,0,9,9
084,11:04,4,10,14
085,11:06,3,11,14
086,11:07,0,12,12
087,11:07,2,13,15
088,11:07,0,14,14
089,11:08,5,14,19
090,11:09,12,13,25
091,11:09,21,13,34
092,11:10,9,12,21
093,11:13,2,8,10
094,11:15,0,8,8
095,11:15,5,9,14
096,11:15,0,10,10
097,11:15,0,11,11
098,11:16,0,12,12
099,11:16,0,13,13
100,11:16,0,14,14
101,11:17,10,15,25
102,11:18,3,11,14
103,11:18,0,11,11
104,11:19,4,11,15
105,11:24,13,7,20
106,11:25,3,4,7
107,11:25,4,5,9
108,11:25,2,6,8
109,11:26,3,7,10
110,11:27,2,8,10
111,11:27,10,9,19
112,11:27,14,10,24
113,11:28,0,11,11
114,11:29,3,11,14
115,11:31,0,12,12
116,11:31,4,13,17
117,11:33,3,12,15
118,11:35,0,13,13
119,11:36,2,13,15
120,11:37,4,13,17
121,11:37,5,14,19
122,11:39,1,15,16
123,11:40,3,14,17
124,11:43,2,12,14
125,11:43,7,13,20
126,11:46,1,11,12
127,11:49,7,10,17
128,11:52,4,10,14
129,11:52,3,11,14
130,11:52,0,12,12
131,11:55,3,9,12
132,11:55,1,9,10
133,11:55,0,10,10
134,12:01,10,2,12
135,12:02,9,3,12
136,12:03,6,4,10
137,12:03,0,5,5
138,12:04,3,3,6
139,12:07,1,0,1
140,12:07,0,1,1
141,12:08,35,2,37
142,12:08,3,3,6
143,12:08,1,4,5
144,12:10,9,4,13
145,12:11,14,3,17
146,12:14,1,2,3
147,12:15,7,2,9
148,12:15,28,3,31
149,12:17,5,2,7
150,12:17,32,3,35
151,12:18,1,2,3
152,12:24,16,3,19
153,15:46,5,0,5
154,15:46,13,1,14
155,15:46,2,2,4
156,15:46,3,2,5
157,15:46,24,3,27
158,15:46,1,4,5
159,15:47,6,4,10
160,15:47,1,4,5
161,15:47,5,5,10
162,15:48,16,6,22
163,15:50,1,5,6
164,15:50,0,6,6
165,15:51,2,7,9
166,15:51,3,8,11
167,15:58,4,5,9
168,16:01,1,5,6
169,16:02,1,3,4
170,16:03,2,2,4
171,16:05,9,2,11
172,16:06,22,1,23
173,16:07,2,2,4
174,16:13,3,0,3
175,16:14,0,1,1
176,16:15,6,1,7
177,16:16,2,2,4
178,16:16,16,2,18
179,16:17,0,2,2
180,16:17,4,3,7
181,16:17,5,3,8
182,16:21,9,4,13
183,16:24,5,0,5
184,16:27,17,1,18
185,16:28,6,0,6
186,16:30,0,1,1
187,16:30,12,2,14
188,16:31,5,2,7
189,16:33,8,0,8
190,16:35,0,1,1
191,16:35,8,2,10
192,16:36,6,3,9
193,16:44,9,0,9
194,16:45,2,0,2
195,16:45,2,0,2
196,16:45,2,1,3
197,16:46,8,1,9
198,16:46,5,2,7
199,16:48,5,0,5
200,16:49,3,0,3
201,16:49,8,0,8
202,16:50,3,1,4
203,16:52,7,2,9
204,16:52,4,3,7
205,16:52,5,4,9
206,16:54,10,3,13
207,16:56,1,1,2
208,16:58,1,0,1
209,16:59,5,1,6
210,17:01,22,2,24
211,17:01,2,2,4
212,17:02,2,2,4
213,17:04,6,1,7
214,17:05,12,2,14
215,17:05,1,3,4
216,17:06,3,3,6
217,17:06,4,4,8
218,17:06,0,5,5
219,17:08,2,5,7
220,17:10,1,5,6
221,17:11,5,6,11
222,17:11,2,7,9
223,17:15,24,5,29
224,17:15,4,6,10
225,17:16,24,7,31
226,17:16,2,7,9
227,17:18,2,7,9
228,17:19,4,7,11
229,17:22,2,5,7
230,17:23,13,4,17
231,17:24,11,5,16
232,17:27,4,4,8
233,17:27,2,3,5
234,17:27,0,4,4
235,17:28,2,5,7
236,17:28,22,6,28
237,17:31,3,5,8
238,17:31,2,6,8
239,17:31,0,7,7
240,17:32,5,8,13
241,17:34,0,8,8
242,17:36,2,9,11
243,17:38,5,10,15
244,17:39,9,11,20
245,17:41,0,12,12
246,17:41,0,13,13
247,17:44,12,12,24
248,17:45,6,11,17
249,17:50,2,5,7
250,17:50,2,6,8
251,17:51,4,7,11
252,17:52,4,8,12
253,17:52,3,8,11
254,17:53,3,9,12
255,17:56,1,5,6
256,17:56,5,6,11
257,17:57,5,7,12
258,17:59,10,7,17
259,18:00,0,7,7
260,18:00,2,8,10
261,18:02,0,7,7
262,18:05,22,6,28
263,18:09,7,0,7
264,18:10,7,1,8
265,18:11,5,1,6
266,18:11,3,1,4
267,18:14,3,1,4
268,18:15,0,2,2
269,18:17,6,2,8
270,18:18,0,3,3
271,18:18,2,3,5
272,18:19,2,3,5
273,18:22,8,0,8
274,18:23,8,0,8
275,18:24,2,0,2
276,18:25,2,0,2
277,18:25,1,1,2
278,18:25,2,2,4
279,18:26,9,3,12
280,18:27,1,3,4
281,18:28,11,3,14
282,18:28,7,4,11
283,18:31,1,2,3
284,18:32,0,1,1
285,18:33,5,1,6
286,18:35,9,0,9
287,18:39,2,0,2
288,18:42,0,0,0
289,18:42,3,1,4
290,18:44,4,0,4
291,18:47,9,0,9
292,18:48,5,1,6
293,18:51,12,1,13
294,18:57,2,0,2
295,18:58,5,0,5
296,18:59,8,0,8
297,18:59,3,1,4
299,19:04,6,0,6
300,19:05,4,1,5
301,19:07,11,0,11
302,19:08,2,1,3
305,19:19,0,0,0
