Number,Arrival time,X1,X2,X3
001,08:31,0,0,0
002,08:31,7,0,7
003,08:39,3,0,3
004,08:40,3,0,3
005,08:41,8,1,9
006,08:44,3,0,3
007,08:47,5,0,5
008,08:47,3,1,4
009,08:53,2,0,2
010,08:53,0,1,1
011,08:54,14,2,16
012,08:57,4,2,6
013,08:58,12,3,15
014,08:58,9,2,11
015,09:02,1,1,2
016,09:05,15,0,15
017,09:07,4,0,4
018,09:10,4,0,4
019,09:10,6,1,7
020,09:11,4,2,6
021,09:11,1,3,4
022,09:11,18,4,22
023,09:12,15,4,19
024,09:13,2,3,5
025,09:17,23,2,25
026,09:17,6,2,8
027,09:20,2,2,4
028,09:20,3,3,6
029,09:21,4,2,6
030,09:26,1,3,4
031,09:27,4,4,8
032,09:27,10,5,15
033,09:27,0,5,5
034,09:29,1,6,7
035,09:33,2,5,7
036,09:34,1,5,6
037,09:40,4,0,4
038,09:41,1,1,2
039,09:41,9,2,11
040,09:41,6,2,8
041,09:41,10,3,13
042,09:41,6,4,10
043,09:42,4,4,8
044,09:47,2,2,4
045,09:48,1,3,4
046,09:48,1,4,5
047,09:49,1,5,6
048,09:50,5,5,10
049,09:52,2,6,8
050,09:54,2,5,7
051,09:54,3,6,9
052,09:55,7,7,14
053,09:56,2,7,9
054,09:58,0,4,4
055,09:59,15,4,19
056,10:01,4,5,9
057,10:02,6,6,12
058,10:03,2,5,7
059,10:03,1,5,6
060,10:04,20,6,26
061,10:05,21,3,24
062,10:06,1,3,4
063,10:07,0,4,4
064,10:07,18,5,23
065,10:08,3,5,8
066,10:09,6,6,12
067,10:13,7,4,11
068,10:13,1,5,6
069,10:15,5,4,9
070,10:16,2,4,6
071,10:17,1,5,6
072,10:19,4,5,9
073,10:19,4,6,10
074,10:19,3,7,10
075,10:20,0,7,7
076,10:22,1,8,9
077,10:23,0,9,9
078,10:24,3,10,13
079,10:28,4,8,12
080,10:29,5,9,14
081,10:30,14,8,22
082,10:31,3,9,12
083,10:34,3,8,11
084,10:34,2,6,8
085,10:38,3,4,7
086,10:38,1,5,6
087,10:39,2,5,7
088,10:40,7,6,13
089,10:41,2,7,9
090,10:41,2,8,10
091,10:44,6,7,13
092,10:48,3,6,9
093,10:48,1,7,8
094,10:48,3,7,10
095,10:49,4,7,11
096,10:50,4,8,12
097,10:50,0,9,9
098,10:51,4,10,14
099,10:55,0,8,8
100,10:57,3,6,9
101,11:01,1,4,5
102,11:02,2,3,5
103,11:03,27,4,31
104,11:04,8,5,13
105,11:05,4,4,8
106,11:05,4,5,9
107,11:05,2,5,7
108,11:06,8,6,14
109,11:07,3,6,9
110,11:09,6,5,11
111,11:09,4,6,10
112,11:10,12,7,19
113,11:10,0,8,8
114,11:11,3,9,12
115,11:12,0,9,9
116,11:12,0,10,10
117,11:14,0,11,11
118,11:15,9,12,21
119,11:16,1,13,14
120,11:17,0,14,14
121,11:17,1,15,16
122,11:19,1,14,15
123,11:19,1,15,16
124,11:20,2,16,18
125,11:21,11,17,28
126,11:26,0,14,14
127,11:27,4,15,19
128,11:27,0,16,16
129,11:27,0,17,17
130,11:27,3,18,21
131,11:27,10,19,29
132,11:27,5,20,25
133,11:28,0,21,21
134,11:29,2,22,24
135,11:29,10,23,33
136,11:33,4,17,21
137,11:35,7,17,24
138,11:35,0,17,17
139,11:36,2,17,19
140,11:41,3,12,15
141,11:42,2,12,14
142,11:45,1,10,11
143,11:45,9,10,19
144,11:45,0,11,11
145,11:46,4,12,16
146,11:48,2,11,13
147,11:48,1,12,13
148,11:48,2,13,15
149,11:49,1,14,15
150,11:53,4,10,14
151,11:53,11,10,21
152,11:53,2,11,13
153,11:54,0,12,12
154,11:55,3,12,15
155,11:55,4,13,17
156,11:56,3,14,17
157,11:56,8,15,23
158,12:03,1,4,5
159,12:04,6,4,10
160,12:05,1,5,6
161,12:05,1,6,7
162,12:10,5,3,8
163,12:11,23,4,27
164,12:11,0,4,4
165,12:15,1,4,5
166,12:16,2,4,6
167,12:16,0,4,4
168,12:19,5,3,8
169,12:23,9,0,9
170,12:23,1,1,2
171,12:23,4,2,6
172,12:24,2,2,4
173,12:25,4,3,7
174,12:29,2,1,3
175,12:30,8,2,10
176,12:32,2,1,3
177,12:35,1,0,1
178,12:36,5,1,6
179,12:36,5,2,7
